1002/3/169	Parents can set monthly allowances, which Kajeet says will help them teach kids about budgeting.
1002/1/8	Discuss the dangers of "sexting" (sending sexually explicit photos by cellphone) and cyberbullying (sending intimidating, harassing messages).
1002/40/700	Children can get lost or get kidnapped and in these cases a cellphone is surely a great device.
1002/27/519	Kids who text estimate sending an average of 118 messages a day.
1002/28/534	Todays kids are digital natives whose activities are fundamentally different than previous generations.
1002/38/680	Only 23 percent of those whose kids have cellphones think their children are using them during school, while 65 percent of kids say they use...
1002/31/549	Cellphones are not permitted because they can be disruptive in class.
1002/3/168	Parents can deposit money into an account that also allows their children to purchase features such as ring tones, games and text messages.
1002/9/382	"Protecting students from high-risk activities should begin as early as kindergarten.
1002/20/454	Establish real consequences for violations of your rules-like taking away the phone for a week!
1002/47/764	Parents also complain to her about their children texting under their covers at night.
1002/41/716	Studies have shown that children who use cellphones before the age of 20 have a greater risk of developing cancer than adults.
1002/56/866	Kids/teens need to be monitored that's why they have parents.
1002/20/442	Program everyone's numbers into their phones so they display the caller's name.
1002/22/463	Some studies, using computer image modelling, show signals radiate farther into children's heads than adults.
1002/41/715	Children also had more fluid in their brains than adults.
1002/17/407	"The bulk of teens are 12 or 13 when they get their first cell phone - but remember this applies to teens who are 17 now and got their phones five years ago, as well as current 13 year olds who have had a phone for six months.
1002/10/385	Experts say you send the wrong message to your kids if you need to constantly monitor them.
1002/32/614	Many families say they are careful to create rules about how and when their children can use their phones.
1002/2/104	If the purpose of cell phones is communication, they are not improving those skills but eliminating them.
1002/6/302	Because the rate of cellular growth is so much higher in children than in younger adult groups any indication of increased risk for younger adult groups suggests that the risk of cellphone use by children may be higher yet.
1002/58/876	(Children are not allowed to have a cellphone with them on the camp.
1002/8/380	Founded in 2003, kajeet may be based in Bethesda, MD, but kids are the center of our universe.
1002/48/825	For most parents, decisions about cellphones are driven by other concerns.
1002/22/469	Cellphones, says another internal memo "have been linked to increasing incidence of childhood leukemia, brain and other cancers of the head and neck, memory problems, stress and migraine/neurological ailment."
1002/32/567	Principals of Seattle-area elementary schools say this is the first year cellphones have been noticeable on their campuses.
1002/4/276	"'Kiddie' cellphones are great, but there is no need for them when your child is actually ready for a cellphone.
1002/56/869	Teachers should have the authority to take the cellphone and hold it for a period of time (punishment) if a student is found to use it in the class, the parents should be called and informed.
1002/38/677	More than eight in 10 teenagers have cellphones, and more than half have had them since they were 12 years old or younger.
1002/32/573	Parents "are allowing corporations, to say nothing of pedophiles, unfettered access to their kids."
