1005/57/1631	Offer either a reward or punishment appropriate for the behavior that they display.
1005/17/454	Children must understand that there are consequences for their actions and that these consequences are neither harsh nor arbitrary.
1005/29/850	If you have any concerns about your own health or the health of your child, you should always consult with a physician or other healthcare professional.
1005/32/878	Spanking teaches kids that it's OK to hit when they're angry.
1005/28/830	Children who either learned or grew up teaching themselves discipline and self-control had a better future that didn't include credit card debts, substance abuse, or low self-esteem.
1005/4/94	Tantrums tend to occur when a child is hungry, tired or already upset...
1005/57/1633	Given your children's young ages, five minutes is long enough.
1005/8/237	Your child will learn all the physical elements as well as respect, anatomy, endurance, patience, etc.
1005/13/377	Children learn far more from our actions than from what we preach.
1005/32/880	Rather than teaching kids how to change their behavior, spanking makes them fearful of their parents and merely teaches them to avoid getting caught.
1005/17/452	As a form of education, consequences should not be linked to practices that intimidate, hurt, or embarrass children.
1005/43/1079	Fortunately, most teens want to take control of things in their life, so let them.
1005/24/796	Parents need to be adamant and say NO when necessary.
1005/9/245	Children need to learn to deal with feeling remorse and - yes - being unhappy for a while.
1005/22/537	Understand why your child is acting the way he or she is.
1005/57/1627	Discipline is not just delivering a punishment - it is teaching: 1.
1005/57/1666	Children who are diagnosed early on in life with bipolar disorder face many challenges, as does their family.
1005/49/1431	Forcing her to be the only one to have counseling will not be a healthy message for her nor will it produce the result that you ultimately want--peace in your family.
1005/3/79	Some touch is much more personal and therefore makes our feelings about it more complicated and confusing.
1005/32/868	Kids have to believe that you mean what you say.
1005/46/1291	Preschool and kindergarten are when impulsive behaviors are dealt with through redirection, teaching and practicing more appropriate responses.
1005/24/680	Kids/people often need tangible consequences to stop a behavior (E.g.
1005/17/456	Natural consequences should not be used if they place a child in danger (an obvious example is allowing a young child to ride a bike on a busy street in which there is the possibility of getting hit by a car), but are appropriate in many other situations.
1005/13/375	As parents we must model the behaviors we are trying to teach.
1005/46/1317	Kids will say whatever they need to in order for their parents to take their side and defend them, whether they are truly the victims of the situation or not.
