1013/43/851	The teachers are the guides and the children are the leaders of their unlimited potential.
1013/29/620	The kids are always happy to be at school (as the are the younger sibs whose parents must daily pry them from the schools doorjamb while the kids protest having to leave.
1013/5/84	The classrooms offer an excellent ratio of child to teacher, so families can be confident that students are receiving personalized care.
1013/48/927	Some schools offer parent/infant classes, in which parents learn to observe their child and meet his needs in the Montessori way.
1013/28/546	Homeschooling does not completely eliminate a student's chance to socialize with other children their age, but significantly reduces the amount of time spent interacting with others.
1013/51/969	A Montessori is a learning shelter for the kids or children who are taught various activities in the class and its relation in real life.
1013/7/109	"The Montessori School's culture is devoted to helping each child grow toward independence by building confidence, competence, self-esteem and respect for others.
1013/12/245	Choose carefully; your child will be entering a second family.
1013/72/1419	The children are shown patience, guidance and understanding, which are important elements in young, developing individuals.
1013/19/409	Pre-school learning environments are specially designed to be age appropriate for young children, helping to support and boost their development and learning.
1013/56/1059	The Catholic faith formation component of the program allows children to learn about the Catholic liturgy and Holy Scripture.
1013/65/1247	Children with this kind of experience grow up loving to learn.
1013/83/1538	Most interactions between children are positive, but in cases where they are not positive, the children generally resolve the problem by themselves
1013/66/1290	Students and parents sign contracts for all their classes indicating their understanding of the three tenets of Lakewood: Community, Self and Academics.
1013/16/363	Renaissance Parenting All subjects are interwoven and no subject is taught in isolation.
1013/65/1253	"Free the child's potential and you will transform both the child and the world."
1013/3/32	Children may be enrolled full or part-time with varying scheduline options available starting at age 2.
1013/1/14	Homeschooling can put a strain on finances, as it means one parent has to be at home to teach the kids.
1013/30/652	Learning, then, becomes easy and natural without friction and arguments.
1013/21/445	A classroom whose children have varying abilities is a community in which everyone learns from one another and everyone contributes.
1013/5/88	The lessons are given individually and the child is then left to work independently.
1013/16/364	Teachers, or in this case parents, are to model the "renaissance" attitude when it comes to learning.
1013/21/463	Parents considering placing a child in a Montessori school should ask about the school's accreditations and affiliations.
1013/21/444	Montessori is designed to help all children reach their fullest potential at their own unique pace.
1013/8/130	A gifted-friendly Montessori classroom would allow above-grade-level work in any subject, bringing in materials from the next level.
1013/12/241	The physical environment is secondary to the natural ability, and the training of the teachers.
1013/78/1480	The children who attended the Montessori school, and the children who did not, were tested for their cognitive and academic skills, and for their social and behavioral skills.
1013/21/458	Montessori training centers can be found across North American and around the world.
1013/21/433	Academic success is not affected by the transition from Montessori to traditional school.
