1025/51/1338	Cyber bullying is often motivated by anger, revenge or frustration.
1025/29/849	21% of kids have received mean or threatening e-mail or other messages.
1025/25/761	Dealing with childhood bullies can be a tough issue, whether your child is being bullied or is doing the bullying.
1025/3/73	As a parent, you may be setting a bad example for your kids by spanking or otherwise striking them, verbally or physically abusing your spouse, or by displaying bullying behavior such as:
1025/13/582	Parents need to resist withdrawal or isolation from the family, rather affirming everyone needs to be at the table for dinner.
1025/50/1323	Kids who are obese, gay, or have disabilities are up to 63% more likely to be bullied than other children.
1025/20/685	Children and youth who are overweight, gay (or perceived to be gay) or have disabilities are up to 63% more likely to be bullied than are other children.
1025/63/1693	Teach your child how to deal with the situation.
1025/43/1152	"Cyber bullying is defined as online material that threatens or raises concerns about violence against others, suicide or other selfharm.
1025/20/706	Encourage your child to take part in extracurricular activities that highlight his or her strengths and that make your child feel safe, special and accepted.
1025/50/1319	A school bullying statistic reveals that 43% fear harassment in the bathroom at school.
1025/64/1741	Parents can certainly help by being aware of what their kids are doing alone in their rooms."
1025/63/1673	Cyber bullying is defined as the use of online tools to harass someone.
1025/20/700	Involve the police if the bullying is (or you suspect it might become) criminal.
1025/53/1515	"Kids may be reluctant to tell their parents in case they lose their computer or cell phone privileges," Iannotti said.
1025/82/2189	Adults have never really been or understood the social world of teens.
1025/88/2300	Cyber bullying is a serious problem that presents itself in many forms and should not be taken lightly.
1025/58/1598	Cyber bullying can cause low self-esteem, skipping school, depression and even suicide.
1025/3/74	Abusing your child's sports coach, umpires and referees, or members of the opposing team.
1025/3/82	Remind your child that bullying can have legal consequences.
1025/54/1550	informing your Internet Service or cell phone provider or the police or an adult you trust;
1025/76/1879	9/07/09  Bullying at School  A student talks about how physical bullying affected him
1025/29/864	58% have not told their parents or an adult about something mean or hurtful that happened to them online.
1025/7/394	Sending malicious code intentionally, to damage or harm the victim's system or to spy on the victim.
1025/21/744	Letting your kids freely wander the Internet is like letting them freely wander outdoors like the endangered Free-Range Kids .
1025/75/1849	Cyber bullying is a very difficult form of bullying to prevent and to police.
1025/51/1391	Inform your child's school, (peer or family) counsellor and paediatrician if things progress.
1025/79/1982	Most emphasize the seriousness of any breach of their code of conduct.
1025/14/606	Cyber-bullying (v.) :: when a child, preteen or teen is tormented, threatened, harassed, humiliated, embarrassed or otherwise targeted by another child, preteen or teen using the Internet, interactive and digital technologies or mobile phones.
1025/82/2180	Students should be taught the effects of cyber bullying and how to avoid it since we are constantly using these means as communication with one another.
1025/89/2358	Bullying is not new, but kids are becoming more aggressive and creative.
1025/54/1532	a best interests of the child lens should be used to provide a balance between values such as freedom of expression and the rights to privacy, and liberty and security;
1025/21/721	Bullying may be a single physical attack or spreading rumors and social exclusion.
1025/3/70	Bullies can learn aggressive behavior from their experiences at home.
1025/2/51	Children will often deal with the effects of cyber bullying differently.
1025/17/638	Some kids think tormenting other people online is fun, and they enjoy the reaction they get from their victims.
1025/3/106	Bullying affects many of us, kids and adults alike, and can leave anyone feeling hurt, angry, frightened, and even depressed or overwhelmed.
1025/52/1475	Kids need to know the consequences of this bullying.
1025/76/1873	11/30/09  Cyber-bullying  Bullying in Cyberspace can be against the law
1025/11/536	Research says that chances are that your child will not tell which is why you need to tune in closer and get educated.
1025/54/1576	Bullies have also been shown to struggle academically, become abusive adults, or engage in criminal behavior.
1025/5/211	Children and adolescents who are the targets of cyber bullying may be unwilling to speak out for several reasons, including:
1025/63/1686	Frequently communicating with your child will alert you when something even slightly changes in their behavior.
1025/6/354	Once the high of abusing one victim is over they move to their next prey.
1025/82/2154	Schools should definitely teach teens how to act over the internet as well as texting.
1025/59/1601	Bullying is common, but it's not harmless; in fact, children who get bullied can experience consequences like depression, social anxiety or low self esteem that can last all the way into adulthood.
1025/86/2241	Religious education is waning, moral standards are relative, and many parents are ignorant as to what is happening online with their teens.
1025/63/1698	If your child is psychologically affected by the bullying, a counselor could help your child to deal with the harassment.
1025/5/242	Because clinicians are mandated to report child abuse, any cyber bullying that takes the form of sexually explicit images of a minor must be reported to local law enforcement.
1025/34/934	Sit down and go through the rules with your child or take several nights and make flash cards with your child to help them remember.
1025/45/1233	Social bullying occurs when rumors are spread, intentional alienation occurs, and friendships are destroyed.
1025/28/809	The bullying behavior may be the only way they know how to deal with a difficult situation in their personal life, such as parents divorcing, a death of a relative, abuse or humiliation of some sort in their life.
1025/86/2234	Bullying can be relentless because of 24/7 access to the Internet.
1025/3/77	Talking negatively about other students, parents, or teachers so that your child thinks it's acceptable to use verbal abuse to intimidate others.
1025/5/187	1,9-13 Boys are also more likely than girls to engage in direct, physical forms of bullying whereas girls are more likely to engage in indirect forms of bullying (eg, ostracism and gossiping).
1025/45/1230	The most common forms that bullying takes is Verbal, Social, Physical, and the most recent form, Cyberbullying.
1025/54/1537	policymakers must understand the scope of the problem (incidents and severity); the theories about the causes of the behaviour; and the level of awareness about cyber-bullying amongst stakeholders.
1025/28/842	All bullies are cowards and Cyber-bullying, and any form of bullying for that matter, can have long-lasting and deep-routed effects on a target.
1025/4/136	Many experts confirm that the psychological effects on our children can be as devastating, and may be even more so, than traditional bullying.
1025/11/509	Many experts confirm that the psychological effects on our children can be as devastating, and may be even more so than traditional bullying.
1025/5/215	Parents who remove the computer or cellular phone are depriving the victimized child of a lifeline of communication with their peers.
