Grammaticality
	1st sentence is trimmed (ungrammatically) The 3rd sentence starts with a (open) parentheses but never closed.
	First sentence lack information through missing end
	A paranethesis opened but not closed
	space before "," (1); sends (2) in caps
	First sentence seems to be two sentences or punctuation is missing
	Copy from original text
	A paranethesis opened but not closed
	Part of headline in summary
	Missing punctuation
	first sentence weird
	broken quotations, plural without apastrophe
	"Z. 5: Punkt fehlt zwischendrin? Es scheint eine Überschrift am Anfang zu sein, die nicht vom Text getrennt ist"
	broken quotations
	legalese stands out
	Punctuation and beginning with short letter of one sentence
	The second line probably consists out of two sentences but these are not separated (with suitable punctuation). Therefore, this is ungrammatical
	Punctuation and sentence 2 seems to be a merged sentence of two
	Punctuation
	broken quotations
	The 4th sentence is ungrammatical (it seems that this line contains multiple sentences which are not separated suitably with punctuation)
	starting sentence wie (e)
	"broken punctuation, use of ""|"" instead"
	| and capital letters in (1)
	part of a list in summary
	"Z. 7 Prädikat fehlt"
Non-Redundancy
	one sentence repeats a prevoius one
	sentence 5 combines sentence 1 + 3
	Definition of depression repeated three times with similar meanings
	"""teach your"""
	Four sentences with the same word at the beginning
	"3 x ""Federal"" at beginning of sentence"
	sneaky redundancy in the requirements (offered to all, not based on credit)
	almost complete redundancy
	Slight redundancy in the beginning of the sentences 1 and 3
	multiple definitions of cyber bullying
	one sentence is in there twice with different wording
	Second sentence and last sentence have same information
	Repetition of arguments
	second sentence redundant
	Repeat: Children who are obese or overweight�
	4 rephrasings.
	2 sentence with exactly the same meaning
	Sentences 1 and 3 are highly redundant what roughly makes about the half of the summary
	First and third sentence share the same meaning
Referential Clarity
	One unresolved refenrence
	"1. Satz: Welche “motivation”?"
	A from a Q/A, no Q.
	every reference of methods
	"Problem “also” in Z.4"
	"Probleme: Z.3 “these”, Z.5 “the following” wird nicht ausgeführt; Z.5 Was ist das “new cutoff date”?"
	JCA (2)
	"Problem: Z.4, “this [social] development”?"
	contextless quote
	"Z,4: Welche “parents”?"
	unresolved reference to earlier mentioned problems
Focus
	sentence 1+4 about bulliening and 2+3 about skipping school, sentence 4 should be after of before 1
	Bullying in school from officials, without further explanation to topic
	just looking at topics consequences
	last sentence is a little bit disconnected
	I wonder, whether the topic is only about the social aspects of smoking teens on the first place
	Line 4 is way off the topic.
	too focused on definition instead of the signs of cyber-bullying
	too much focus on constraints of administation
	"Das Thema scheint “homeschooling” und “discipline” zu sein. Aber im letzten Satz scheint das Thema Homeschooling dann völlig zu fehlen."
	"Inwiefern passen die “Students with test anxiety” zu den Kindern mit Angsttörungen?"
	"Z. 45 Give children who feel insecure in situations with peers some social training”: Es ist nicht vollständig klar, wie dieser Satz zum Thema passt"
	First sentence seems to be totally out of context
	topic missed
	all sentences stay on the same topic
	"Das Thema wird nicht klar: Schulsystem? Waldorf-Schulen? ADHS???"
	random bit about AHDH
	"Der erste Satz passt nicht direkt zum Thema"
Structure
	First sentence lack information through missing end
	strange start of sentence (1)
	First sentence seems to be two sentences or punctuation is missing
	one single bullet point
	"letzter Satz sollte am Anfang stehen; auch ansonsten kann die Reihenfolge der Sätze  optimiert werden"
	last sentence would be better as first sentence
	Partial quote
	"Die Sätze am Anfang scheinen an beliebiger Position, aber das Ende ist gut"
	"nicht klar erkennbar; allerhöchstens letzter Satz als Schluss ok"
	great first sentence
	good starting sentence
	"ist aber auch nicht so schwierig bei nur drei Sätzen"
