topic;oq;avg;;;worst;average;better;;topic;oq;round(avg);;;schlechter;mittelwert;besser;;;;;;;
1001;2;3,2;-1,2;;135;14;47;;1001;2;3;-1;;88;97;11;;;;min;-2,7;;
1001;3;3,9;-0,9;;69%;7%;24%;;1001;3;4;-1;;45%;49%;6%;;;;max;1,2;;
1001;4;4;0;;summe;196;;;1001;4;4;0;;summe;196;;;;;;;;
1001;5;3,8;1,2;;;;;;1001;5;4;1;;;;;;;;;;;Klassen
1002;2;3;-1;;;;;;1002;2;3;-1;;;;;;;;-2,8;-2,4;1;"[-2,8;-2,4)"
1002;3;3,7;-0,7;;;;;;1002;3;4;-1;;;;;;;;-2,4;-2;3;"[-2,4;-2)"
1002;3;3,2;-0,2;;;;;;1002;3;3;0;;;;;;;;-2;-1,6;4;"[-2;-1,6)"
1002;3;3,6;-0,6;;;;;;1002;3;4;-1;;;;;;;;-1,6;-1,2;11;"[-1,6;-1,2)"
1003;2;2,8;-0,8;;;;;;1003;2;3;-1;;;;;;;;-1,2;-0,8;30;"[-1,2;-0,8)"
1003;4;4,1;-0,1;;;;;;1003;4;4;0;;;;;;;;-0,8;-0,4;39;"[-0,8;-0,4)"
1003;3;3,1;-0,1;;;;;;1003;3;3;0;;;;;;;;-0,4;0;47;"[-0,4;0)"
1003;3;3,5;-0,5;;;;;;1003;3;4;-1;;;;;;;;0;0,4;45;"[0;0,4)"
1004;3;3,9;-0,9;;;;;;1004;3;4;-1;;;;;;;;0,4;0,8;10;"[0,4;0,8)"
1004;5;4,7;0,3;;;;;;1004;5;5;0;;;;;;;;0,8;1,2;4;"[0,8;1,2)"
1004;3;3,5;-0,5;;;;;;1004;3;4;-1;;;;;;;;1,2;1,6;2;"[1,2;1,6)"
1004;3;3,9;-0,9;;;;;;1004;3;4;-1;;;;;;;;;;;
1005;1;2,4;-1,4;;;;;;1005;1;2;-1;;;;;;;;;;;
1005;3;3,9;-0,9;;;;;;1005;3;4;-1;;;;;;;;;;;
1005;5;3,8;1,2;;;;;;1005;5;4;1;;;;;;;;;;;
1005;3;3,6;-0,6;;;;;;1005;3;4;-1;;;;;;;;;;;
1006;1;2,8;-1,8;;;;;;1006;1;3;-2;;;;;;;;;;;
1006;4;4;0;;;;;;1006;4;4;0;;;;;;;;;;;
1006;2;2,8;-0,8;;;;;;1006;2;3;-1;;;;;;;;;;;
1006;4;3,4;0,6;;;;;;1006;4;3;1;;;;;;;;;;;
1007;5;4,6;0,4;;;;;;1007;5;5;0;;;;;;;;;;;
1007;5;4,6;0,4;;;;;;1007;5;5;0;;;;;;;;;;;
1007;4;4;0;;;;;;1007;4;4;0;;;;;;;;;;;
1007;5;3,9;1,1;;;;;;1007;5;4;1;;;;;;;;;;;
1008;2;3,3;-1,3;;;;;;1008;2;3;-1;;;;;;;;;;;
1008;3;3,3;-0,3;;;;;;1008;3;3;0;;;;;;;;;;;
1008;3;3,8;-0,8;;;;;;1008;3;4;-1;;;;;;;;;;;
1008;4;3,2;0,8;;;;;;1008;4;3;1;;;;;;;;;;;
1010;3;3,6;-0,6;;;;;;1010;3;4;-1;;;;;;;;;;;
1010;3;3,6;-0,6;;;;;;1010;3;4;-1;;;;;;;;;;;
1010;4;3,4;0,6;;;;;;1010;4;3;1;;;;;;;;;;;
