score;;;;;weight;;;;;confidence;;;;;
Gruppe1;Gruppe3;Gruppe4;Gruppe5;Gruppe6;Gruppe1;Gruppe3;Gruppe4;Gruppe5;Gruppe6;Gruppe1;Gruppe3;Gruppe4;Gruppe5;Gruppe6;
3,683229814;4,33974359;4,047619048;4,121693122;4,220657277;3,186335404;3,044871795;3,174603175;3,084656085;3,276995305;4,031055901;4,051282051;4,222222222;4,185185185;4,17370892;
3,888198758;4,198717949;4,121693122;3,857142857;4,215962441;3,378881988;3,211538462;3,391534392;3,497354497;3,694835681;4,01242236;3,858974359;4,111111111;4,148148148;4,150234742;
3,391304348;3,858974359;3,71957672;4,111111111;3,230046948;3,453416149;3,173076923;3,439153439;3,322751323;3,85915493;4,211180124;3,91025641;4,248677249;4,275132275;4,267605634;
3,099378882;3,461538462;3,582010582;3,656084656;3,309859155;3,826086957;3,929487179;3,714285714;3,962962963;4,093896714;3,881987578;3,91025641;3,862433862;3,888888889;3,976525822;
2,894409938;3,102564103;3,248677249;3,137566138;3,145539906;3,459627329;3,717948718;3,402116402;3,529100529;3,784037559;3,776397516;3,730769231;3,428571429;3,693121693;3,868544601;
2,863354037;3,083333333;3,312169312;3,201058201;3,061032864;3,571428571;3,814102564;3,767195767;3,80952381;3,868544601;3,677018634;3,730769231;3,560846561;3,619047619;3,680751174;
3,236024845;3,711538462;3,624338624;3,529100529;3,610328638;3,608695652;3,717948718;3,624338624;3,751322751;3,901408451;4,180124224;3,955128205;4,111111111;4,158730159;4,305164319;
2,968944099;3,769230769;3,428571429;3,455026455;3,502347418;4,161490683;4,038461538;4,015873016;4,238095238;4,028169014;4,02484472;3,884615385;3,920634921;3,873015873;4,042253521;
4,093167702;4,506410256;4,349206349;4,354497354;4,333333333;2,757763975;2,512820513;2,82010582;2,650793651;3,079812207;3,98757764;4,141025641;4,08994709;4,105820106;4,122065728;
3,304347826;4,070512821;3,502645503;3,37037037;3,873239437;3,074534161;2,897435897;2,936507937;2,693121693;2,995305164;3,813664596;4,044871795;3,82010582;3,82010582;3,79342723;
2,826086957;3,5;3,291005291;3,28042328;3,164319249;4,173913043;4,141025641;4,111111111;4,232804233;4,309859155;4,055900621;3,897435897;4,005291005;3,989417989;4,178403756;
