Gruppe1;1001;1002;1003;1004;1005;1006;1007;1008;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050
score;3,372470641;2,873015873;3,156655844;4,046195652;3,105118428;3,448445563;2,56757862;4,059021592;3,307382771;2,491925466;2,668234767;3,482078853;2,800383142;3,64631165;2,305555556;2,994430272;3,45247076;2,511289588;2,340665219;2,941880381;4,30069389;3,785695279;3,101164274;3,650122962;2,507911377;3,559808022;2,685354691;2,870724441;3,013131313;2,301857585;2,612029298;2,967354541;2,555183946;4,310638645;3,175290675;2,814839181;3,853485064;2,404248192;3,5;2,353823529;3,250625;3,136386386;3,435555556;3,378422908;3,21885763;2,642857143;4,427551942;3,800560631;3,177777778
score (w/ conf.);3,324036958;2,848305753;3,150797769;4,059299955;3,097600151;3,42193348;2,589742495;4,042921314;3,307382771;2,479519836;2,714551097;3,470967742;2,730392376;3,692755682;2,248760434;2,952644994;3,459007023;2,456901551;2,32021797;2,883826831;4,319502046;3,776835373;3,079712826;3,654656197;2,477218667;3,610968597;2,690340909;2,837765148;2,974264706;2,291638214;2,576751352;2,959133861;2,569347319;4,298395275;3,167826809;2,788316673;3,908531746;2,362286457;3,566066905;2,311482906;3,279069639;3,127374337;3,423585526;3,366520002;3,247843137;2,607240437;4,44177557;3,839007113;3,152631579
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gruppe3;1001;1002;1003;1004;1005;1006;1007;1008;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050
score;3,877678571;2,651605759;3,80588115;3,973642021;3,925967198;3,804166667;3,661169755;3,968910371;3,816431875;3,772036474;4,078690127;3,600217865;4,113419913;3,497586156;3,714171848;3,586206897;3,408324864;3,202586207;3,924285714;3,762545389;3,230556252;3,749180646;4,077346143;3,615629984;3,723374867;3,70683314;3,546523119;3,482261641;3,556712963;3,374188034;3,295410628;3,864692982;3,273097975;3,481069126;3,408888889;3,414484053;2,653923038;3,325;4,083414634;4,11402387;3,719594708;4,235813008;4,123473389;3,071428571;4,471229294;4,581666667;3,926031294;3,915535126;3,854127758
score (w/ conf.);3,916943522;2,608759868;3,80963275;3,996518204;3,984430197;3,81912471;3,629157485;3,953383987;3,817047142;3,755919258;4,153235653;3,618819404;4,119579024;3,520868383;3,768172157;3,602272727;3,507732419;3,164974998;3,928724217;3,758734372;3,181329147;3,752305646;4,111383077;3,665058702;3,742869168;3,740168979;3,563376201;3,589418778;3,57376175;3,393846154;3,35240525;3,878374315;3,221467809;3,453804894;3,426214435;3,364203646;2,625657931;3,360187553;4,124237288;4,127763673;3,750033163;4,235813008;4,148120805;3,066709451;4,497238179;4,576654355;3,973326173;3,942492809;3,902545336
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gruppe4;1001;1002;1003;1004;1005;1006;1007;1008;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;;;;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050
score;4,376348941;3,080333647;3,06837172;3,994294168;3,151435881;3,486714976;3,788259106;2,762003252;3,378754551;4,184151786;3,792657005;3,779498337;3,930154809;4,041771094;3,624909071;3,42767765;3,922266908;3,441183575;3,4828125;2,749217074;4,228715864;2,483041368;3,061146775;4,513973133;3,231982281;2,948082266;3,227400534;2,517954948;3,644951002;;;;3,53612479;4,011339744;4,267460317;3,736097756;3,796164773;2,642184754;4,086544012;4,184721293;3,681807082;3,611303675;4,328119312;3,647615326;4,161681287;2,915887771;3,500649351;3,326418598;3,56979353
score (w/ conf.);4,399543134;3,042575471;3,104749989;4,034636909;3,132299869;3,488497501;3,784232241;2,845465299;3,39599482;4,175938773;3,820463549;3,757516116;3,955100658;4,06015917;3,62305821;3,416621464;3,921213387;3,486380725;3,522629815;2,740824682;4,241538005;2,469870169;3,036627931;4,525670001;3,228714473;2,922513923;3,248964305;2,477403257;3,615234519;;;;3,52997886;4,015955347;4,312296852;3,766670698;3,81460285;2,665686444;4,10355434;4,175179681;3,692521368;3,640805101;4,357414497;3,670077363;4,154338998;2,906908465;3,510920656;3,31978167;3,555432031
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gruppe5;1001;1002;1003;1004;1005;1006;1007;1008;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050
score;3,545540963;3,195622717;3,339978315;3,858297646;3,384737611;2,991521487;4,42737051;3,219600491;3,546198263;3,873761083;3,928810027;3,878896758;4,012016286;4,079698264;3,947446742;3,706372549;3,310713293;2,942716186;3,731270017;3,708654749;3,985850042;3,599312669;3,340903087;2,518517089;3,382123729;4,160119812;2,036868687;3,843167702;3,842504388;3,786461958;3,434814015;3,817928744;4,073532069;3,713256937;3,771421867;3,426528854;3,356274363;3,227787621;3,724212585;3,814084967;3,312949216;3,53600763;3,436065001;2,246301818;3,964640324;4,086915796;3,685938215;2,725269254;3,757708618
